(7, 13, 0)	1	0	227308	27533	10	9
(13, 7, 0)	2	0	68958	409720	27	27
(8, 9, 0)	1	0	410937	240568	23	22
(9, 8, 0)	1	0	177830	198709	19	18
(8, 10, 0)	2	0	195419	496021	15	15
(10, 8, 0)	1	0	733190	485592	27	26
(8, 11, 0)	2	0	191842	329688	10	10
(11, 8, 0)	2	0	770077	547950	29	29
(8, 12, 0)	1	0	500955	486155	42	41
(12, 8, 0)	2	0	441579	492987	29	29
(8, 13, 0)	1	0	774981	730134	46	45
(13, 8, 0)	2	0	245187	591913	44	44
(9, 10, 0)	1	0	312301	786135	31	30
(10, 9, 0)	2	0	440754	93585	13	13
(9, 11, 0)	1	0	53340	286882	15	14
(11, 9, 0)	1	0	887754	497850	45	44
(9, 12, 0)	1	0	549411	798845	67	66
(12, 9, 0)	1	0	389359	319492	28	27
(9, 13, 0)	1	0	363073	241592	40	39
(13, 9, 0)	2	0	123648	235918	26	26
(10, 11, 0)	2	0	590154	334142	19	19
(11, 10, 0)	2	0	837665	882267	36	36
(10, 12, 0)	1	0	670247	388774	28	27
(12, 10, 0)	2	0	600458	808019	35	35
(10, 13, 0)	2	0	951977	685469	53	53
(13, 10, 0)	1	0	245587	641792	22	21
(11, 12, 0)	1	0	622748	519252	36	35
(12, 11, 0)	2	0	541634	773881	36	36
(11, 13, 0)	1	0	682765	172312	31	30
(13, 11, 0)	1	0	33536	209248	17	16
(12, 13, 0)	2	0	432063	325106	26	26
(13, 12, 0)	1	0	26068	127952	16	15
(0, 1, 1)	2	0	801883	878919	52	52
(1, 0, 1)	1	0	950123	834322	57	56
(0, 2, 1)	1	0	247436	719667	26	25
(2, 0, 1)	1	0	803952	817950	53	52
(0, 3, 1)	2	0	822607	661018	45	45
(3, 0, 1)	1	0	817604	841853	61	60
(0, 4, 1)	1	0	513007	673673	45	44
(4, 0, 1)	2	0	581379	336179	30	30
(0, 5, 1)	1	0	256451	595687	26	25
(5, 0, 1)	1	0	856509	634351	36	35
(0, 6, 1)	1	0	213623	583850	26	25
(6, 0, 1)	2	0	873233	469536	39	39
(0, 7, 1)	1	0	293232	424269	27	26
(7, 0, 1)	2	0	330534	161696	22	22
(0, 8, 1)	1	0	247537	448059	26	25
(8, 0, 1)	2	0	198951	312688	26	26
(0, 9, 1)	1	0	290628	212890	22	21
(9, 0, 1)	2	0	238466	217164	26	26
(0, 10, 1)	1	0	72275	398186	17	16
(10, 0, 1)	2	0	751350	251544	30	30
(0, 11, 1)	1	0	199095	494304	22	21
(11, 0, 1)	2	0	491265	116607	20	20
(0, 12, 1)	1	0	547631	558947	41	40
(12, 0, 1)	2	0	454896	325861	31	31
(0, 13, 1)	1	0	165727	170410	24	23
(13, 0, 1)	2	0	81094	134345	18	18
(1, 2, 1)	2	0	737035	645352	19	19
(2, 1, 1)	1	0	819328	936776	46	45
(1, 3, 1)	1	0	815834	557940	35	34
(3, 1, 1)	1	0	443900	878811	33	32
(1, 4, 1)	1	0	690124	553943	25	24
(4, 1, 1)	1	0	604655	859570	30	29
(1, 5, 1)	1	0	920921	865721	44	43
(5, 1, 1)	1	0	734432	786998	28	27
(1, 6, 1)	1	0	763806	875570	32	31
(6, 1, 1)	2	0	961990	872612	45	45
(1, 7, 1)	1	0	601443	424650	24	23
(7, 1, 1)	2	0	638720	826664	36	36
(1, 8, 1)	1	0	529500	285229	19	18
(8, 1, 1)	2	0	297605	567150	16	16
(1, 9, 1)	1	0	561298	183382	20	19
(9, 1, 1)	2	0	261273	753373	29	29
(1, 10, 1)	1	0	886048	943395	44	43
(10, 1, 1)	2	0	288549	330134	15	15
(1, 11, 1)	1	0	712992	786947	29	28
(11, 1, 1)	2	0	722033	774940	22	22
(1, 12, 1)	1	0	793596	563015	35	34
(12, 1, 1)	2	0	526915	746323	33	33
(1, 13, 1)	1	0	735040	608816	34	33
(13, 1, 1)	2	0	60973	678299	25	25
(2, 3, 1)	1	0	705093	596958	30	29
(3, 2, 1)	1	0	516290	769059	32	31
(2, 4, 1)	1	0	816610	879215	61	60
(4, 2, 1)	2	0	200929	581724	16	16
(2, 5, 1)	1	0	737971	702088	27	26
(5, 2, 1)	2	0	792048	802626	39	39
(2, 6, 1)	1	0	633437	796014	26	25
(6, 2, 1)	2	0	966595	830335	56	56
(2, 7, 1)	1	0	733329	626917	41	40
(7, 2, 1)	2	0	742093	779145	46	46
(2, 8, 1)	1	0	719447	564721	25	24
(8, 2, 1)	2	0	320122	696833	24	24
(2, 9, 1)	1	0	625094	295221	25	24
(9, 2, 1)	2	0	383301	712936	30	30
(2, 10, 1)	1	0	829720	943656	53	52
(10, 2, 1)	2	0	454082	551646	16	16
(2, 11, 1)	2	0	737987	532538	27	27
(11, 2, 1)	2	0	926894	773015	34	34
(2, 12, 1)	1	0	712879	436094	33	32
(12, 2, 1)	2	0	780136	829126	63	63
(2, 13, 1)	1	0	814774	426484	51	50
(13, 2, 1)	2	0	155102	766860	42	42
(3, 4, 1)	1	0	422057	543687	33	32
(4, 3, 1)	2	0	364627	382050	22	22
(3, 5, 1)	1	0	444890	695655	24	23
(5, 3, 1)	2	0	693970	449927	19	19
(3, 6, 1)	1	0	513325	891807	38	37
(6, 3, 1)	2	0	934227	593563	45	45
(3, 7, 1)	1	0	199774	476761	28	27
(7, 3, 1)	2	0	349600	145590	22	22
(3, 8, 1)	1	0	191004	265608	26	25
(8, 3, 1)	2	0	325905	334618	30	30
(3, 9, 1)	1	0	133918	180245	18	17
(9, 3, 1)	2	0	378618	546473	30	30
(3, 10, 1)	1	0	436478	773554	27	26
(10, 3, 1)	2	0	331912	110889	13	13
(3, 11, 1)	1	0	288604	635255	29	28
(11, 3, 1)	2	0	349570	98599	15	15
(3, 12, 1)	1	0	362536	411186	29	28
(12, 3, 1)	2	0	500188	425463	33	33
(3, 13, 1)	1	0	308472	111968	30	29
(13, 3, 1)	2	0	458808	436411	39	39
(4, 5, 1)	2	0	693201	827097	49	49
(5, 4, 1)	2	0	941770	853661	71	71
(4, 6, 1)	1	0	426702	553660	27	26
(6, 4, 1)	1	0	976495	747781	48	47
(4, 7, 1)	1	0	362780	468606	30	29
(7, 4, 1)	2	0	485318	405870	38	38
(4, 8, 1)	1	0	256694	194430	16	15
(8, 4, 1)	1	0	741661	785018	43	42
(4, 9, 1)	1	0	101865	187646	17	16
(9, 4, 1)	2	0	471126	490956	39	39
(4, 10, 1)	1	0	349558	906521	27	26
(10, 4, 1)	2	0	840867	383179	30	30
